highschool,num_of_students_in_highschool,university_00,university_01,university_02,university_03,university_04,university_05,university_06,university_07,university_08,university_09,university_10,university_11,university_12,university_13,university_14,university_15,university_16,university_17,university_18,university_19,university_20,university_21,university_22,university_23,university_24,university_25,university_26,university_27,university_28,university_29,university_30,university_31,university_32,university_33,university_34,university_35,university_36,university_37,university_38,university_39,university_40,university_41,university_42,university_43,university_44,university_45,university_46,university_47,university_48,university_49,university_50,university_51,university_52,university_53,university_54,university_55,university_56,university_57,university_58,university_59,university_60,university_61,university_62,university_63,university_64,university_65,university_66,university_67,university_68,university_69,university_70,university_71,university_72,university_73,university_74,university_75,university_76,university_77,university_78,university_79,university_80,university_81,university_82,university_83,university_84,university_85,university_86,university_87,university_88,university_89,university_90,university_91,university_92,university_93,university_94,university_95,university_96,university_97,university_98,university_99
highschool_000,100,5.0,7.0,6.0,8.0,7.0,8.0,6.0,7.0,4.0,6.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
highschool_001,100,5.0,9.0,7.0,9.0,9.0,10.0,6.0,7.0,7.0,7.0,6.0,5.0,6.0,8.0,9.0,13.0,13.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
highschool_002,100,2.0,3.0,4.0,8.0,9.0,9.0,8.0,12.0,9.0,9.0,8.0,4.0,7.0,7.0,6.0,7.0,7.0,1.0,1.0,0.0,2.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
highschool_003,100,4.0,4.0,2.0,4.0,5.0,8.0,8.0,8.0,8.0,8.0,4.0,2.0,2.0,1.0,3.0,3.0,7.0,1.0,4.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
highschool_004,100,3.0,7.0,4.0,6.0,7.0,6.0,6.0,9.0,10.0,10.0,8.0,7.0,6.0,5.0,6.0,6.0,7.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
highschool_005,100,3.0,3.0,4.0,5.0,7.0,8.0,7.0,9.0,9.0,12.0,14.0,10.0,9.0,8.0,11.0,12.0,13.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
highschool_006,100,3.0,4.0,3.0,4.0,5.0,5.0,5.0,8.0,8.0,10.0,11.0,12.0,9.0,9.0,12.0,13.0,15.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
highschool_007,100,1.0,2.0,4.0,7.0,8.0,8.0,7.0,8.0,4.0,4.0,6.0,5.0,8.0,8.0,10.0,11.0,12.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
highschool_008,100,2.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,7.0,8.0,8.0,6.0,6.0,7.0,12.0,13.0,14.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
highschool_009,100,2.0,7.0,7.0,10.0,8.0,8.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,7.0,9.0,9.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
